HDI Rank (2021),Countries,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank (2020),HDI Category,Education Index,alpha-3,region,sub-region,Lat,Lon
87,Brazil,0.754,72.7504,15.59906006,8.128813955,14369.88848,-5,86,2,0.7042676890555555,BRA,Americas,Latin America and the Caribbean,-10,-55
88,Colombia,0.752,72.8296,14.44274998,8.862859726,14384.35666,-7,88,2,0.6966161569777778,COL,Americas,Latin America and the Caribbean,4,-72
89,Saint Vincent and the Grenadines,0.751,69.6291,14.67220567,10.83343029,11961.08792,11,82,2,0.7686756116111111,VCT,Americas,Latin America and the Caribbean,13.25,-61.2
89,Saint Vincent and the Grenadines,0.751,69.6291,14.67220567,10.83343029,11961.08792,11,82,2,0.7686756116111111,VCT,Americas,Latin America and the Caribbean,13.25,-61.2
89,Saint Vincent and the Grenadines,0.751,69.6291,14.67220567,10.83343029,11961.08792,11,82,2,0.7686756116111111,VCT,Americas,Latin America and the Caribbean,13.25,-61.2
90,Maldives,0.747,79.9182,12.63560963,7.322,15448.12788,-14,97,2,0.5950558230555556,MDV,Asia,Southern Asia,3.25,73
91,Algeria,0.745,76.3767,14.62689602,8.069284397,10800.22546,13,96,2,0.675278813788889,DZA,Africa,Northern Africa,28,3
91,Azerbaijan,0.745,69.3658,13.49689007,10.5429697,14256.74456,-8,100,2,0.7263459363888889,AZE,Asia,Western Asia,40.5,47.5
91,Tonga,0.745,70.9857,16.04857063,11.392594,6822.03125,34,90,2,0.8255467619444445,TON,Oceania,Polynesia,-20,-175
91,Turkmenistan,0.745,69.2644,13.21039963,11.26139,13020.7155,-1,93,2,0.7423352119444444,TKM,Asia,Central Asia,40,60
95,Ecuador,0.74,73.67,14.62423038,8.817119598,10311.63273,11,99,2,0.7001326082666667,ECU,Americas,Latin America and the Caribbean,-2,-77.5
